pitch_type,game_date,balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,pitcher_days_since_prev_game,run_diff,runners_on,prev_release_speed,prev_release_spin_rate,prev_pitch_type_FF,prev_pitch_type_FS,prev_pitch_type_SI,prev_pitch_type_SL,stand_L,stand_R,p_throws_R
FF,2025-10-17,0.9487247641998899,-0.37634459355255023,-1.2534601889308965,6,1.4046026013571062,0.24966101679323716,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,-1.2865124567881905,-1.2967680090939677,False,True,False,False,True,False,True
FS,2025-10-17,0.9487247641998899,1.0046577896260382,-1.2534601889308965,6,1.4046026013571062,0.8851617868123863,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,0.7387153829689589,0.39583618737740545,True,False,False,False,True,False,True
FS,2025-10-17,2.0168694287885773,1.0046577896260382,-1.2534601889308965,6,1.4046026013571062,1.5206625568315355,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,-1.0763473036058457,-1.0411629554831894,False,True,False,False,True,False,True
FS,2025-10-17,-1.1875645649774846,-0.37634459355255023,-0.013954067362378418,6,1.4696265262577426,-1.0213405232450612,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,-0.8852880734400769,-1.221956773890813,False,True,False,False,True,False,True
FF,2025-10-17,-0.11941990038879732,-0.37634459355255023,-0.013954067362378418,6,1.4696265262577426,-0.3858397532259121,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,-0.8279703043903467,-1.546138793104483,False,True,False,False,True,False,True
FF,2025-10-17,-0.11941990038879732,-1.7573469767311387,1.2255520542061398,6,1.5346504511583787,-1.0213405232450612,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,-0.7515466123240381,0.9195148337994877,False,False,False,True,False,True,True
SL,2025-10-17,0.9487247641998899,-1.7573469767311387,1.2255520542061398,6,1.5346504511583787,-0.3858397532259121,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,0.8724568440849977,0.23997944737083335,True,False,False,False,False,True,True
SL,2025-10-17,2.0168694287885773,-1.7573469767311387,1.2255520542061398,6,1.5346504511583787,0.24966101679323716,-1.0659913446803069,0.3423433386388901,-0.6716308845415353,-1.0381354575726915,1.1377142698086886,False,False,False,True,False,True,True
SL,2025-10-20,-0.11941990038879732,-1.7573469767311387,-1.2534601889308965,7,1.6646983009596514,-1.0213405232450612,-3.44002905887928,-1.0823358864560708,-0.6716308845415353,0.8724568440849977,0.5610443317843719,True,False,False,False,False,True,True
SL,2025-10-20,-0.11941990038879732,-0.37634459355255023,-1.2534601889308965,7,1.6646983009596514,-0.3858397532259121,-3.44002905887928,-1.0823358864560708,-0.6716308845415353,-1.2674065337716147,0.9257491033997506,False,False,False,True,False,True,True
FF,2025-10-20,0.9487247641998899,-0.37634459355255023,-1.2534601889308965,7,1.6646983009596514,0.24966101679323716,-3.44002905887928,-1.0823358864560708,-0.6716308845415353,-0.8279703043903467,0.6732611845891038,False,False,False,True,False,True,True
SL,2025-10-20,0.9487247641998899,1.0046577896260382,-1.2534601889308965,7,1.6646983009596514,0.8851617868123863,-3.44002905887928,-1.0823358864560708,-0.6716308845415353,0.9488805361513036,0.5797471405851605,True,False,False,False,False,True,True
